epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,690.125,0.57973,1.33263,1.14161,0.75295,0.73414,0.82775,0.7468,0.4559,1.92834,0.87465,0.000333218,0.000333218,0.0670114
2,1352.71,0.49993,0.93014,1.0898,0.77843,0.81073,0.8612,0.78196,0.44018,1.82879,0.85771,0.000666388,0.000666388,0.0340113
3,2002.74,0.45674,0.78265,1.06645,0.87582,0.88793,0.91773,0.87314,0.33067,20.3803,0.71416,0.000998908,0.000998908,0.00101046
4,2649.14,0.41825,0.67222,1.04519,0.8941,0.90306,0.92353,0.88511,0.31726,7.8849,0.75585,0.000997803,0.000997803,0.000997803
5,3290.98,0.3941,0.60266,1.03251,0.89369,0.91185,0.92641,0.89775,0.2622,28.6807,0.6439,0.000996097,0.000996097,0.000996097
6,3932.21,0.37875,0.56068,1.02466,0.89875,0.91397,0.92682,0.90643,0.37288,30.4874,0.75569,0.000993906,0.000993906,0.000993906
7,4574.68,0.36432,0.52727,1.01773,0.90352,0.92837,0.92807,0.90497,0.29407,39.5875,0.67707,0.000991232,0.000991232,0.000991232
8,5216.12,0.35604,0.50253,1.01356,0.90422,0.9232,0.92942,0.91746,0.21859,34.3359,0.61498,0.000988079,0.000988079,0.000988079
9,5941.63,0.34792,0.48508,1.00889,0.91116,0.9288,0.93206,0.91901,0.22038,34.8979,0.61556,0.000984449,0.000984449,0.000984449
10,6891.39,0.33719,0.46192,1.00328,0.91062,0.93019,0.93303,0.92066,0.20478,36.734,0.60613,0.000980345,0.000980345,0.000980345
11,7742.69,0.33189,0.45342,1.00053,0.90768,0.93304,0.93206,0.91846,0.20345,36.4741,0.60847,0.000975773,0.000975773,0.000975773
12,8691.09,0.32748,0.43599,0.99717,0.91158,0.93372,0.93318,0.92375,0.20377,36.6729,0.60479,0.000970736,0.000970736,0.000970736
13,9571.86,0.32138,0.42615,0.99499,0.91041,0.93298,0.93305,0.92274,0.19587,38.7674,0.59946,0.000965239,0.000965239,0.000965239
14,10485,0.32001,0.41318,0.99406,0.90822,0.93483,0.93216,0.92109,0.19876,37.6216,0.6017,0.000959289,0.000959289,0.000959289
15,11344.8,0.31612,0.40654,0.99406,0.90835,0.93531,0.93367,0.92572,0.19052,37.8504,0.59687,0.000952889,0.000952889,0.000952889
16,12095.1,0.31294,0.39856,0.9912,0.90792,0.93595,0.93163,0.92503,0.18664,39.2125,0.59467,0.000946048,0.000946048,0.000946048
17,12910.4,0.30698,0.3868,0.98717,0.9083,0.9366,0.93253,0.92674,0.18963,39.149,0.59712,0.000938772,0.000938772,0.000938772
18,13694.4,0.30467,0.38353,0.98831,0.90833,0.93644,0.93361,0.92772,0.18575,41.4162,0.5927,0.000931067,0.000931067,0.000931067
19,14547,0.30214,0.37359,0.98642,0.90835,0.93663,0.93433,0.92876,0.1841,41.9072,0.5914,0.000922942,0.000922942,0.000922942
20,15383,0.29747,0.3682,0.98405,0.90883,0.9374,0.93331,0.92763,0.1804,42.9743,0.58902,0.000914405,0.000914405,0.000914405
21,16275.4,0.29871,0.36886,0.98476,0.90795,0.93735,0.93232,0.92663,0.17922,43.1159,0.58843,0.000905463,0.000905463,0.000905463
22,17212.8,0.29587,0.35749,0.98321,0.90734,0.93736,0.9317,0.92585,0.17706,42.7784,0.5866,0.000896127,0.000896127,0.000896127
23,18156.7,0.29174,0.35387,0.9819,0.90745,0.93762,0.93187,0.92614,0.17562,42.5429,0.58542,0.000886404,0.000886404,0.000886404
24,19103.2,0.28957,0.3505,0.98017,0.90767,0.93778,0.93198,0.92608,0.17358,42.4361,0.58422,0.000876305,0.000876305,0.000876305
25,20047.8,0.28804,0.34627,0.97946,0.90812,0.93805,0.93228,0.92635,0.17316,42.3647,0.58406,0.000865839,0.000865839,0.000865839
26,20991.2,0.2855,0.34237,0.97792,0.90844,0.93802,0.93237,0.92641,0.17384,42.6652,0.58471,0.000855018,0.000855018,0.000855018
27,21940.4,0.28506,0.33284,0.97767,0.90873,0.93795,0.93232,0.92658,0.17315,42.6257,0.58461,0.000843851,0.000843851,0.000843851
28,22888.4,0.28049,0.3286,0.97587,0.90897,0.93812,0.93273,0.92717,0.17172,42.4697,0.58385,0.000832349,0.000832349,0.000832349
29,23633.4,0.27787,0.32302,0.97509,0.90901,0.93816,0.93342,0.92789,0.17014,42.304,0.58316,0.000820525,0.000820525,0.000820525
30,24549.2,0.27767,0.32354,0.97614,0.90944,0.93826,0.93383,0.92836,0.16825,42.2936,0.58197,0.000808389,0.000808389,0.000808389
31,25498.1,0.27542,0.31525,0.973,0.90932,0.93832,0.93411,0.92871,0.16639,42.3687,0.58099,0.000795954,0.000795954,0.000795954
32,26442.4,0.27683,0.31857,0.97486,0.90941,0.93848,0.93412,0.929,0.16543,42.4198,0.58062,0.000783231,0.000783231,0.000783231
33,27351.2,0.27374,0.31171,0.97389,0.90967,0.93858,0.93423,0.92928,0.16441,42.374,0.58011,0.000770234,0.000770234,0.000770234
34,28276.4,0.2713,0.30617,0.9718,0.90975,0.93867,0.93392,0.92911,0.16254,42.4455,0.57901,0.000756976,0.000756976,0.000756976
35,29031.5,0.27025,0.30713,0.97166,0.90978,0.93875,0.9335,0.92856,0.16164,42.2777,0.57847,0.000743468,0.000743468,0.000743468
36,29917.7,0.26906,0.29935,0.97097,0.90972,0.93893,0.93314,0.92833,0.16104,42.2016,0.57846,0.000729725,0.000729725,0.000729725
37,30858.3,0.26556,0.29885,0.96961,0.90978,0.93901,0.93296,0.92844,0.16031,42.0693,0.57819,0.000715761,0.000715761,0.000715761
38,31794.2,0.26481,0.29271,0.96991,0.90991,0.93909,0.93324,0.92898,0.15936,42.0066,0.57773,0.000701588,0.000701588,0.000701588
39,32632.2,0.26326,0.29255,0.96812,0.90995,0.93929,0.93336,0.92922,0.15858,42.0663,0.57734,0.000687222,0.000687222,0.000687222
