                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56928,                0.95296,                0.99662,                 3.0417,              0.0033324,              0.0033324,              0.0033324
                      2,                0.07342,                0.98505,                0.99937,                 2.9871,              0.0065338,              0.0065338,              0.0065338
                      3,                0.04866,                 0.9886,                0.99961,                 2.9817,              0.0096031,              0.0096031,              0.0096031
                      4,                0.05013,                0.99459,                0.99981,                 2.9711,               0.009406,               0.009406,               0.009406
                      5,                 0.0367,                0.99589,                0.99989,                 2.9679,               0.009406,               0.009406,               0.009406
                      6,                0.02955,                0.99688,                0.99989,                 2.9661,               0.009208,               0.009208,               0.009208
                      7,                0.02947,                0.99714,                0.99994,                 2.9654,                0.00901,                0.00901,                0.00901
                      8,                0.03086,                0.99734,                0.99994,                 2.9653,               0.008812,               0.008812,               0.008812
                      9,                0.02815,                 0.9974,                0.99994,                 2.9651,               0.008614,               0.008614,               0.008614
                     10,                0.02755,                0.99732,                0.99994,                 2.9652,               0.008416,               0.008416,               0.008416
                     11,                 0.0261,                0.99725,                0.99994,                 2.9652,               0.008218,               0.008218,               0.008218
                     12,                0.02602,                0.99695,                0.99994,                 2.9653,                0.00802,                0.00802,                0.00802
                     13,                0.02491,                0.99704,                0.99994,                 2.9654,               0.007822,               0.007822,               0.007822
                     14,                0.02251,                0.99708,                0.99994,                 2.9655,               0.007624,               0.007624,               0.007624
                     15,                0.02242,                0.99717,                0.99994,                 2.9655,               0.007426,               0.007426,               0.007426
                     16,                0.02047,                0.99714,                0.99994,                 2.9655,               0.007228,               0.007228,               0.007228
                     17,                0.01778,                 0.9971,                0.99994,                 2.9654,                0.00703,                0.00703,                0.00703
                     18,                0.02061,                0.99706,                0.99994,                 2.9655,               0.006832,               0.006832,               0.006832
                     19,                0.01675,                0.99732,                0.99994,                 2.9653,               0.006634,               0.006634,               0.006634
